moviename,charactername,time
 Captain America: The Winter Soldier,Gamora,0
 Captain America: The Winter Soldier,Gen. Thaddeus Ross,0
 Captain America: The Winter Soldier,Grandmaster,0
 Captain America: The Winter Soldier,Groot,0
 Captain America: The Winter Soldier,Hank Pym,0
 Captain America: The Winter Soldier,Happy Hogan,0
 Captain America: The Winter Soldier,Harley Keener,0
 Captain America: The Winter Soldier,Heimdall,0
 Captain America: The Winter Soldier,Hela,0
 Captain America: The Winter Soldier,Ho Yinsen,0
 Captain America: The Winter Soldier,Hogun,0
 Captain America: The Winter Soldier,Hope van Dyne,0
 Captain America: The Winter Soldier,Howard Stark,0
 Captain America: The Winter Soldier,Ivan Vanko,0
 Captain America: The Winter Soldier,Jane Foster,0
 Captain America: The Winter Soldier,Jasper Sitwell,4
 Captain America: The Winter Soldier,Johann Schmidt,0
 Captain America: The Winter Soldier,Justin Hammer,0
 Captain America: The Winter Soldier,Kaecilius,0
 Captain America: The Winter Soldier,King Laufey,0
 Captain America: The Winter Soldier,Korg,0
 Captain America: The Winter Soldier,Kraglin,0
 Captain America: The Winter Soldier,Laura Barton,0
 Captain America: The Winter Soldier,Liz Allan,0
 Captain America: The Winter Soldier,Loki,0
 Captain America: The Winter Soldier,Luis,0
 Captain America: The Winter Soldier,Malekith the Accursed,0
 Captain America: The Winter Soldier,Mantis,0
 Captain America: The Winter Soldier,Maria Hill,3.25
 Captain America: The Winter Soldier,May Parker,0
 Captain America: The Winter Soldier,Maya Hansen,0
 Captain America: The Winter Soldier,Natasha Romanoff,24.75
 Captain America: The Winter Soldier,Nebula,0
 Captain America: The Winter Soldier,Ned Leeds,0
 Captain America: The Winter Soldier,Nick Fury,15.5
 Captain America: The Winter Soldier,Obadiah Stane,0
 Captain America: The Winter Soldier,Odin,0
 Captain America: The Winter Soldier,Paxton,0
 Captain America: The Winter Soldier,Peggy Carter,2.25
 Captain America: The Winter Soldier,Pepper Potts,0
 Captain America: The Winter Soldier,Peter Parker,0
 Captain America: The Winter Soldier,Peter Quill,0
